                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1501,                 5.1035,                 1.7618,                      0,                      0,                      0,                      0,                 1.0139,                 4.8473,                0.99264,              4.608e-05,              4.608e-05,              4.608e-05
                      2,                 1.7743,                 4.8589,                 1.5306,                      0,                      0,                      0,                      0,                 1.0272,                 4.7548,                0.99218,             9.2845e-05,             9.2845e-05,             9.2845e-05
                      3,                 1.6548,                 4.5539,                  1.387,                0.04735,                0.02093,                0.03318,                0.02768,                 1.0291,                 4.4336,                 0.9768,             0.00013768,             0.00013768,             0.00013768
                      4,                 1.6505,                 4.2541,                 1.3434,                0.03065,                0.10166,                0.04628,                0.03417,                  1.092,                 3.9917,                0.98265,              0.0001806,              0.0001806,              0.0001806
                      5,                 1.6661,                 3.8749,                 1.3069,                0.66999,                0.04436,                0.04679,                0.02665,                 1.4375,                 3.6197,                 1.0445,             0.00022158,             0.00022158,             0.00022158
                      6,                 1.6401,                 3.6903,                 1.2545,                0.73372,                0.04594,                 0.0488,                0.02913,                 1.4992,                 3.5366,                 1.0636,             0.00023066,             0.00023066,             0.00023066
                      7,                 1.6283,                 3.4633,                  1.227,                0.73178,                0.05097,                0.05276,                0.03597,                 1.3634,                 3.4155,                 1.0482,             0.00022559,             0.00022559,             0.00022559
                      8,                 1.6166,                 3.3773,                 1.2264,                0.54385,                0.05069,                0.05423,                0.03786,                 1.2974,                 3.4171,                 1.0397,             0.00022052,             0.00022052,             0.00022052
                      9,                 1.6212,                 3.2402,                 1.2074,                 0.4854,                0.05004,                0.07087,                0.04949,                 1.2949,                 3.3451,                 1.0283,             0.00021545,             0.00021545,             0.00021545
                     10,                 1.6008,                 3.0782,                  1.203,                0.06315,                 0.0963,                0.07931,                0.05787,                 1.2128,                 3.2377,                 1.0044,             0.00021038,             0.00021038,             0.00021038
                     11,                 1.5325,                 2.8859,                  1.185,                 0.0567,                0.10646,                 0.0814,                0.05911,                 1.1715,                 3.0441,                0.99098,             0.00020531,             0.00020531,             0.00020531
                     12,                 1.5619,                 2.9074,                 1.1958,                0.04899,                0.11551,                0.08537,                0.06074,                 1.1481,                 2.8277,                 0.9934,             0.00020024,             0.00020024,             0.00020024
                     13,                 1.5308,                 2.8112,                 1.1807,                0.04631,                0.12063,                0.09186,                0.06486,                 1.1656,                 2.7344,                 1.0033,             0.00019517,             0.00019517,             0.00019517
                     14,                 1.5282,                 2.8322,                 1.1908,                0.52302,                0.08874,                0.09461,                0.06801,                 1.1354,                 2.5547,                0.99517,             0.00019011,             0.00019011,             0.00019011
                     15,                 1.5086,                 2.5849,                 1.1768,                 0.5242,                0.09699,                0.09791,                0.06824,                 1.1627,                 2.2317,                  1.003,             0.00018504,             0.00018504,             0.00018504
                     16,                 1.5409,                 2.6576,                 1.1903,                0.52554,                 0.1016,                 0.0999,                0.07006,                 1.1198,                 1.9719,                 1.0058,             0.00017997,             0.00017997,             0.00017997
                     17,                 1.5096,                 2.4813,                 1.1677,                0.53004,                0.10279,                0.10346,                0.07447,                 1.0553,                 1.8276,                 1.0015,              0.0001749,              0.0001749,              0.0001749
                     18,                 1.5284,                 2.4214,                 1.2074,                0.52973,                 0.1075,                0.10546,                0.07569,                 1.0827,                 1.8083,                 1.0057,             0.00016983,             0.00016983,             0.00016983
                     19,                 1.4905,                 2.2392,                 1.1927,                0.52952,                 0.1111,                0.10626,                0.07633,                 1.0689,                 1.8208,                0.99995,             0.00016476,             0.00016476,             0.00016476
                     20,                  1.441,                 2.2265,                 1.1359,                0.53172,                0.11199,                0.10687,                0.07791,                 1.0433,                 1.8689,                0.99248,             0.00015969,             0.00015969,             0.00015969
                     21,                 1.4402,                 2.1922,                 1.1489,                0.53277,                0.10814,                  0.106,                0.07654,                  1.051,                 1.8659,                0.99559,             0.00015462,             0.00015462,             0.00015462
                     22,                 1.4569,                 2.2997,                 1.1486,                0.53359,                0.10868,                0.10562,                0.07554,                 1.0493,                 1.8149,                0.99136,             0.00014956,             0.00014956,             0.00014956
                     23,                  1.438,                 2.1051,                 1.1557,                0.52965,                 0.1134,                0.10471,                0.07525,                 1.0138,                 1.7572,                0.98424,             0.00014449,             0.00014449,             0.00014449
                     24,                 1.4833,                 2.1813,                 1.1653,                0.52929,                0.11576,                0.10548,                0.07592,                0.98184,                 1.6991,                0.97924,             0.00013942,             0.00013942,             0.00013942
                     25,                  1.391,                 2.1204,                 1.1564,                0.53273,                0.11272,                0.10634,                0.07707,                 0.9654,                 1.6728,                0.98171,             0.00013435,             0.00013435,             0.00013435
                     26,                 1.3988,                 1.9961,                 1.1312,                0.53553,                0.10981,                0.10811,                0.07914,                0.96106,                 1.6913,                0.97796,             0.00012928,             0.00012928,             0.00012928
                     27,                 1.4356,                 1.9962,                 1.1658,                0.53457,                0.11162,                0.10902,                0.07891,                0.99648,                  1.705,                0.98386,             0.00012421,             0.00012421,             0.00012421
                     28,                 1.4056,                 1.9385,                 1.1259,                0.53503,                 0.1118,                0.10963,                0.07939,                  1.005,                 1.7003,                0.98065,             0.00011914,             0.00011914,             0.00011914
                     29,                 1.4048,                  2.055,                 1.1489,                0.59897,                0.11084,                0.10964,                 0.0811,                0.97481,                 1.6764,                0.97446,             0.00011407,             0.00011407,             0.00011407
                     30,                 1.3926,                 1.9025,                 1.1335,                0.59756,                0.11258,                0.11004,                0.08135,                0.96194,                 1.6615,                0.97489,               0.000109,               0.000109,               0.000109
                     31,                 1.3936,                 1.9024,                  1.121,                0.66075,                0.11112,                0.11079,                0.08205,                 0.9396,                 1.6102,                0.96753,             0.00010394,             0.00010394,             0.00010394
                     32,                 1.4221,                  1.903,                 1.1388,                0.65951,                0.11077,                 0.1112,                0.08184,                0.94126,                 1.5868,                0.96636,             9.8867e-05,             9.8867e-05,             9.8867e-05
                     33,                 1.3553,                 1.8505,                 1.1398,                0.65882,                0.10971,                0.11109,                0.08127,                0.94835,                 1.5403,                0.97114,             9.3798e-05,             9.3798e-05,             9.3798e-05
                     34,                 1.4061,                  1.801,                  1.142,                0.66079,                0.10766,                0.11207,                0.08228,                0.94917,                 1.5436,                0.97171,              8.873e-05,              8.873e-05,              8.873e-05
                     35,                 1.3941,                 1.9631,                 1.1719,                0.66274,                  0.105,                0.11209,                0.08309,                0.93047,                 1.5038,                0.97508,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     36,                 1.4022,                 1.8774,                 1.1505,                0.66369,                0.10347,                0.11288,                 0.0843,                0.92459,                 1.4903,                0.97632,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     37,                 1.3829,                 1.9079,                 1.1425,                0.66243,                0.10774,                0.11337,                 0.0847,                0.92566,                 1.4837,                0.97649,             7.3523e-05,             7.3523e-05,             7.3523e-05
                     38,                 1.3557,                 1.8807,                 1.1099,                0.59883,                0.10999,                0.11334,                0.08439,                0.93532,                 1.4973,                0.97483,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     39,                 1.3585,                 1.7743,                  1.131,                0.66066,                0.11095,                0.11322,                0.08362,                0.95362,                 1.4892,                0.97205,             6.3386e-05,             6.3386e-05,             6.3386e-05
                     40,                 1.4064,                 1.7295,                 1.1479,                0.65843,                0.11249,                0.11304,                0.08361,                0.95118,                 1.4991,                0.96686,             5.8317e-05,             5.8317e-05,             5.8317e-05
                     41,                 1.3447,                 1.6061,                 1.1506,                0.59795,                0.10932,                0.11352,                0.08375,                0.92446,                 1.4081,                0.96844,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     42,                 1.3713,                  1.571,                 1.1614,                0.59715,                0.11037,                0.11362,                0.08322,                0.91687,                 1.3738,                0.97438,             4.8179e-05,             4.8179e-05,             4.8179e-05
                     43,                 1.3419,                  1.588,                 1.1474,                0.59668,                0.11016,                0.11479,                0.08408,                0.91253,                 1.3554,                0.97968,              4.311e-05,              4.311e-05,              4.311e-05
                     44,                 1.3452,                 1.5591,                 1.1543,                0.53192,                0.11073,                0.11341,                0.08478,                 0.9053,                 1.3476,                0.98466,             3.8042e-05,             3.8042e-05,             3.8042e-05
                     45,                 1.3496,                 1.5753,                 1.1876,                0.53196,                0.10941,                0.11343,                0.08456,                0.91956,                 1.3543,                0.99014,             3.2973e-05,             3.2973e-05,             3.2973e-05
                     46,                  1.282,                 1.5882,                 1.1483,                0.53095,                0.11008,                0.11372,                0.08488,                0.92661,                 1.3591,                 0.9921,             2.7904e-05,             2.7904e-05,             2.7904e-05
                     47,                  1.312,                 1.5801,                  1.159,                 0.5924,                0.11219,                0.11499,                0.08579,                0.92822,                 1.3583,                0.99221,             2.2835e-05,             2.2835e-05,             2.2835e-05
                     48,                 1.3121,                 1.5722,                 1.1487,                0.59234,                0.11482,                0.11561,                0.08658,                 0.9179,                 1.3491,                0.98824,             1.7766e-05,             1.7766e-05,             1.7766e-05
                     49,                 1.3297,                 1.5969,                 1.1809,                0.59177,                0.11509,                0.11557,                 0.0863,                0.91799,                  1.348,                0.98711,             1.2698e-05,             1.2698e-05,             1.2698e-05
                     50,                 1.3252,                 1.5499,                  1.167,                0.59255,                 0.1136,                0.11581,                0.08665,                0.91407,                  1.345,                0.98379,             7.6288e-06,             7.6288e-06,             7.6288e-06
